title,sentence,sentiment_dict,sentiment_total,[u],[p],[s],[cc],[cs],annotations
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,"repost from january 13 , 2004 with a better fit title .",{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,does your apex dvd player only play dvd audio without video ?,{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,or does it play audio and video but scrolling in black and white ?,{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,"before you try to return the player or waste hours calling apex tech support , or run the player over with your car , try these simple troubleshooting ideas first .",{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,no picture :,{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,hopefully you still have the remote control .,{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,"if you tossed it out the window , you need to fetch it .",{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,"using the remote control , press the i/p button located on the bottom right corner of the remote .",{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,the i/p button switches the tv display between interlace and progressive .,{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,"if this doesnt bring back the picture , try pressing this button without playing a dvd .",{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,"if you dont get video back , now you can run the player over with your car !",{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,picture scrolling in b/w :,{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,you need the remote control for this so you better get it from your dog before he burries it in the backyard .,{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,press the p/n button located on the bottom right corner of the remote .,{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,the p/n button switches your dvd players video output signal between pal and ntsc .,{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,"by pressing p/n , you should be able to get a good picture on the screen .",{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,for other problems go to http://www.apexdigitalinc.com/support.asp,{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,i hope i have helped you continue to enjoy the apex dvd player with these troubleshooting tips .,{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,i have done some research and experimenting with the remote when my apex ad-2500 seemed to have lost its video signal .,{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,im a more happier person after discovering the i/p button !,{'i/p button': 2},2,False,False,False,False,False,i/p button[+2]
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,the button was probably accidentally pushed to cause the black screen in the first place .,{},0,False,False,False,False,False,
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,"but , if you 're looking for my opinion of the apex dvd player , i love it !",{'dvd player': 2},2,False,False,False,False,False,dvd player[+2]
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,it practically plays almost everything you give it .,{'dvd player': 1},1,False,True,False,False,False,dvd player[+1][p]
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,i 've had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor .,"{'player': 2, ',sound': -1}",1,False,False,False,False,False,"player[+2],sound[-1]"
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,for the price it is a well spent investment !,{'price': 2},2,False,False,False,False,False,price[+2]
troubleshooting ad-2500 and ad-2600 no picture scrolling b/w .,i would recommend buying one .,{},0,False,False,False,False,False,
incredibe price / performance .,i 've owned 6 or 7 dvd players since 1998 .,{},0,False,False,False,False,False,
incredibe price / performance .,"this is by far the nicest one , in so many ways .",{'dvd player': 3},3,False,True,False,False,False,dvd player[+3][p]
incredibe price / performance .,"it 's very sleek looking with a very good front panel button layout , and it has a great feature set .","{'look': 3, ',panel button layout': 3, ',feature': 2}",8,False,False,False,False,False,"look[+3],panel button layout[+3],feature[+2]"
incredibe price / performance .,its fast-forward and rewind work much more smoothly and consistently than those of other models i 've had .,"{'forward': 2, ', rewind': 2}",4,False,False,False,False,False,"forward[+2], rewind[+2]"
incredibe price / performance .,"it plays alternate video formats ( vcds , svcds , cvds ) very well .",{'video format': 3},3,False,False,False,False,False,video format[+3]
incredibe price / performance .,and amazon.com has it for such a great price -- how can you go wrong ?,{'price': 3},3,False,False,False,False,False,price[+3]
