title,sentence,sentiment_dict,sentiment_total,[u],[p],[s],[cc],[cs],annotations
the best 4mp compact digital available,this camera is perfect for an enthusiastic amateur photographer .,{'camera': 2},2,False,False,False,False,False,camera[+2]
the best 4mp compact digital available,"the pictures are razor-sharp , even in macro .","{'picture': 3, ', macro': 3}",6,False,False,False,False,False,"picture[+3], macro[+3]"
the best 4mp compact digital available,it is small enough to fit easily in a coat pocket or purse .,{'size': 2},2,True,False,False,False,False,size[+2][u]
the best 4mp compact digital available,it is light enough to carry around all day without bother .,{'weight': 1},1,True,False,False,False,False,weight[+1][u]
the best 4mp compact digital available,"operating its many features is easy and often obvious - i 'm no annie lebovitz , but i was able to figure out most of its abilities just messing around with it at a camera store .",{'feature': 2},2,True,False,False,False,False,feature[+2][u]
the best 4mp compact digital available,the manual does a fine job filling in any blanks that remain .,{'manual': 2},2,False,False,False,False,False,manual[+2]
the best 4mp compact digital available,"the auto-focus performs well , but i love having the 12 optional scene modes - they are dummy-proof , and correspond to many situations in which i would actually seek to use the camera .","{'auto focus': 2, ',scene mode': 2}",4,False,False,False,False,False,"auto focus[+2],scene mode[+2]"
the best 4mp compact digital available,"comes with a 16 mb compact flash and one rechargable battery the charging unit , included , is fast and small .",{'rechargable battery': 2},2,False,False,False,False,False,rechargable battery[+2]
the best 4mp compact digital available,"i bought a 256 mb cf and a second battery , so it 's good to go on a long vacation .",{},0,False,False,False,False,False,
the best 4mp compact digital available,i enthusiastically recommend this camera .,{'camera': 2},2,False,False,False,False,False,camera[+2]
perfect to grow into,"i got my camera three days back , and although i had some experience with digital cameras prior to purchasing this one , i still rate myself as a beginner .",{},0,False,False,False,False,False,
perfect to grow into,i bought this camera because it fit my budget and the pre-production and production model reviews were positive .,{},0,False,False,False,False,False,
perfect to grow into,"it 's easy to use , and yet very feature rich .","{'camera': 2, '[p], use': 1, '[u], feature': 2}",5,True,True,False,False,False,"camera[+2][p], use[+1][u], feature[+2]"
perfect to grow into,"in the auto mode it functions basically as a point and click , the scene modes are very easy to use and produce good results .","{'auto mode': 1, ',scene mode': 2}",3,False,False,False,False,False,"auto mode[+1],scene mode[+2]"
